Date,State,stateFIPS,Count,NewCount,7DayAvg
06/23/20,AL,1,864,24,12
06/24/20,AL,1,889,25,15
06/25/20,AL,1,895,6,13
06/26/20,AL,1,906,11,13
06/27/20,AL,1,918,12,12
06/28/20,AL,1,918,0,12
06/29/20,AL,1,929,11,13
06/30/20,AL,1,948,19,12
07/01/20,AL,1,972,24,12
07/02/20,AL,1,985,13,13
07/03/20,AL,1,1006,21,15
07/04/20,AL,1,1007,1,13
07/05/20,AL,1,1007,0,13
07/06/20,AL,1,1007,0,12
07/07/20,AL,1,1033,26,13
07/08/20,AL,1,1058,25,13
07/09/20,AL,1,1068,10,12
07/10/20,AL,1,1104,36,14
07/11/20,AL,1,1114,10,16
07/12/20,AL,1,1121,7,17
07/13/20,AL,1,1123,2,17
07/14/20,AL,1,1164,41,19
07/15/20,AL,1,1211,47,22
07/16/20,AL,1,1230,19,24
07/17/20,AL,1,1264,34,23
07/18/20,AL,1,1285,21,25
07/19/20,AL,1,1286,1,24
07/20/20,AL,1,1291,5,24
07/21/20,AL,1,1303,12,20
07/22/20,AL,1,1364,61,22
01/22/20,AR,5,0,0,0
01/23/20,AR,5,0,0,0
01/24/20,AR,5,0,0,0
01/25/20,AR,5,0,0,0
01/26/20,AR,5,0,0,0
01/27/20,AR,5,0,0,0
01/28/20,AR,5,0,0,0
01/29/20,AR,5,0,0,0
01/30/20,AR,5,0,0,0
01/31/20,AR,5,0,0,0
02/01/20,AR,5,0,0,0
02/02/20,AR,5,0,0,0
02/03/20,AR,5,0,0,0
02/04/20,AR,5,0,0,0
02/05/20,AR,5,0,0,0
02/06/20,AR,5,0,0,0
02/07/20,AR,5,0,0,0
02/08/20,AR,5,0,0,0
02/09/20,AR,5,0,0,0
02/10/20,AR,5,0,0,0
02/11/20,AR,5,0,0,0
02/12/20,AR,5,0,0,0
02/13/20,AR,5,0,0,0
02/14/20,AR,5,0,0,0
02/15/20,AR,5,0,0,0
02/16/20,AR,5,0,0,0
02/17/20,AR,5,0,0,0
02/18/20,AR,5,0,0,0
02/19/20,AR,5,0,0,0
02/20/20,AR,5,0,0,0
02/21/20,AR,5,0,0,0
02/22/20,AR,5,0,0,0
02/23/20,AR,5,0,0,0
02/24/20,AR,5,0,0,0
02/25/20,AR,5,0,0,0
02/26/20,AR,5,0,0,0
02/27/20,AR,5,0,0,0
02/28/20,AR,5,0,0,0
02/29/20,AR,5,0,0,0
03/01/20,AR,5,0,0,0
